Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8
-18,-10,-7,2,-252,-28,-303,-34
-17,-10,-7,3,-252,-28,-303,-33
-18,-10,-7,3,-251,-27,-302,-32
-17,-10,-8,2,-252,-28,-302,-33
-16,-11,-9,1,-251,-28,-302,-33
-17,-10,-8,2,-250,-28,-301,-32
-18,-10,-7,2,-251,-28,-301,-33
-17,-10,-8,2,-250,-28,-301,-33
-18,-9,-7,3,-250,-27,-301,-33
-19,-9,-6,3,-251,-27,-301,-33
-18,-9,-7,3,-251,-28,-301,-33
-17,-10,-7,3,-250,-27,-300,-32
-17,-10,-7,3,-250,-27,-300,-32
-16,-10,-8,2,-250,-28,-301,-33
-16,-11,-9,2,-249,-29,-300,-32
-16,-10,-7,3,-248,-27,-299,-32
-17,-10,-7,2,-249,-28,-300,-33
-17,-10,-8,2,-249,-28,-300,-33
-18,-9,-7,3,-249,-27,-299,-32
-19,-8,-6,3,-250,-26,-299,-33
-18,-9,-7,3,-249,-27,-299,-33
-16,-9,-6,3,-248,-26,-297,-31
-15,-8,-3,4,-246,-23,-294,-30
-14,-8,-3,4,-246,-23,-295,-29
-12,-9,-2,3,-244,-22,-293,-28
-11,-7,0,5,-242,-19,-290,-26
-10,-7,1,4,-243,-18,-290,-26
-9,-8,2,5,-242,-17,-289,-25
-10,-8,3,5,-241,-16,-288,-25
-11,-7,3,5,-242,-16,-287,-24
-8,-8,4,5,-241,-15,-286,-24
-6,-7,7,6,-239,-13,-284,-22
-6,-7,7,6,-238,-12,-283,-21
-5,-8,6,6,-238,-12,-283,-21
-3,-10,6,5,-236,-11,-282,-20
-3,-10,9,6,-235,-10,-281,-19
-3,-7,10,6,-235,-9,-280,-19
-3,-5,11,6,-236,-8,-280,-19
-2,-6,12,7,-235,-7,-278,-18
-2,-6,14,7,-234,-6,-277,-17
-1,-7,13,7,-234,-6,-277,-17
1,-6,16,7,-232,-3,-274,-14
3,-4,21,9,-229,0,-270,-11
7,-3,24,9,-227,4,-267,-9
10,-2,28,10,-224,8,-263,-6
11,-1,31,11,-222,11,-261,-4
12,0,33,11,-222,13,-259,-3
15,2,38,13,-220,17,-255,0
17,5,43,14,-217,22,-251,2
19,7,49,16,-215,27,-247,5
23,8,51,16,-213,30,-244,7
26,6,54,17,-211,33,-241,10
29,7,58,18,-208,37,-237,13
32,8,62,18,-205,41,-234,16
36,9,66,19,-203,45,-230,19
39,12,71,21,-200,50,-226,22
41,14,75,22,-199,54,-223,24
43,13,78,22,-196,57,-220,26
45,13,81,23,-194,60,-217,29
45,15,84,24,-194,62,-215,30
47,16,86,24,-193,64,-213,31
49,14,86,24,-191,65,-211,33
51,12,87,25,-189,67,-210,34
52,12,87,24,-190,67,-210,34
54,12,88,24,-189,67,-210,35
54,13,91,25,-186,70,-207,37
54,14,92,25,-187,70,-207,36
54,14,91,25,-187,70,-207,36
53,14,90,25,-188,69,-207,35
50,14,89,25,-189,67,-209,34
50,12,86,24,-189,65,-210,33
50,9,84,23,-189,63,-211,33
48,9,82,23,-190,61,-212,32
48,7,80,22,-191,59,-215,29
47,6,76,21,-192,56,-217,28
45,5,75,21,-193,54,-218,27
43,5,72,20,-195,51,-220,24
41,2,69,18,-196,48,-223,22
38,2,66,18,-198,45,-226,20
34,3,64,18,-201,42,-228,17
33,0,59,16,-202,39,-231,15
32,-3,56,16,-202,35,-233,13
30,-5,52,15,-203,32,-236,11
29,-10,47,13,-204,28,-239,9
28,-14,43,11,-206,23,-242,7
24,-14,40,11,-207,20,-245,5
21,-12,37,11,-210,17,-248,2
17,-10,35,11,-212,14,-250,0
14,-10,32,10,-214,12,-252,-2
12,-9,31,10,-216,10,-253,-3
12,-11,27,9,-217,7,-256,-5
11,-12,25,8,-217,5,-257,-6
9,-11,24,8,-218,4,-258,-7
7,-11,20,7,-220,1,-261,-9
7,-13,17,6,-220,0,-262,-10
5,-11,17,7,-220,0,-262,-11
2,-12,15,6,-222,-3,-265,-13
1,-11,13,5,-224,-6,-267,-15
0,-10,13,6,-224,-6,-267,-16
-3,-8,12,7,-225,-7,-268,-17
-3,-10,9,5,-227,-10,-270,-19
-4,-11,7,4,-227,-11,-271,-20
-4,-11,6,5,-227,-12,-271,-20
-5,-13,4,4,-228,-14,-273,-21
-5,-13,2,3,-228,-16,-274,-22
-7,-11,1,4,-229,-16,-274,-23
-10,-9,0,4,-231,-19,-277,-25
-13,-10,-3,3,-232,-21,-279,-27
-14,-10,-4,3,-233,-23,-280,-29
-16,-7,-4,4,-234,-23,-281,-29
-16,-7,-5,3,-235,-24,-281,-30
-15,-8,-5,3,-234,-24,-281,-29
-16,-8,-6,3,-234,-25,-281,-30
-17,-10,-9,2,-236,-28,-284,-32
-17,-11,-11,1,-236,-29,-285,-32
-17,-10,-9,2,-235,-28,-283,-32
-18,-10,-9,2,-236,-28,-284,-32
-18,-10,-10,1,-236,-29,-284,-33
-18,-10,-9,2,-236,-29,-284,-33
-19,-9,-8,2,-236,-28,-283,-32
-19,-9,-9,2,-235,-28,-283,-33
-18,-10,-9,2,-235,-28,-283,-32
-18,-10,-9,2,-234,-28,-282,-32
-17,-10,-9,2,-234,-28,-282,-32
-16,-11,-11,1,-234,-28,-283,-32
-17,-10,-10,2,-233,-28,-282,-32
-18,-10,-10,1,-234,-29,-282,-32
-18,-10,-9,2,-234,-28,-282,-32
-18,-9,-9,2,-234,-28,-281,-32
-19,-8,-8,2,-234,-27,-281,-32
-19,-9,-9,2,-234,-28,-281,-33
-18,-10,-9,2,-233,-28,-281,-32
-18,-10,-9,2,-233,-27,-280,-31
-18,-10,-9,2,-233,-28,-280,-32
-16,-11,-11,1,-233,-29,-281,-32
-17,-11,-10,2,-232,-28,-280,-31
-18,-10,-9,2,-232,-28,-280,-32
-17,-10,-9,1,-233,-28,-280,-33
-18,-9,-9,1,-232,-28,-280,-32
-19,-8,-8,2,-233,-28,-279,-32
-19,-9,-9,2,-233,-28,-280,-32
-18,-10,-9,2,-232,-28,-279,-32
-18,-10,-9,3,-231,-27,-278,-31
-17,-10,-9,2,-232,-28,-278,-31
-17,-11,-11,1,-231,-28,-279,-32
-17,-10,-9,2,-230,-28,-277,-31
-18,-9,-9,2,-231,-28,-278,-32
-18,-9,-9,1,-231,-28,-278,-32
-18,-9,-9,2,-231,-28,-278,-32
-19,-8,-8,3,-231,-27,-277,-32
-19,-8,-9,2,-232,-28,-278,-32
-18,-9,-9,2,-231,-28,-278,-32
-18,-9,-9,2,-230,-27,-277,-31
-17,-9,-9,2,-230,-27,-277,-32
-16,-10,-11,1,-230,-28,-277,-32
-17,-10,-9,2,-229,-27,-276,-31
-18,-10,-9,2,-229,-27,-276,-31
-18,-10,-10,2,-230,-28,-277,-32
-18,-10,-9,2,-229,-28,-276,-32
-19,-8,-8,2,-230,-27,-276,-32
-18,-8,-9,2,-230,-28,-276,-32
-18,-9,-9,2,-229,-27,-275,-31
-17,-9,-8,2,-228,-27,-275,-31
-17,-9,-9,2,-229,-28,-275,-31
-16,-11,-10,1,-229,-28,-276,-31
-17,-10,-9,2,-228,-27,-275,-30
-17,-9,-9,2,-228,-27,-275,-31
-18,-9,-9,1,-228,-28,-275,-32
-18,-9,-9,2,-228,-27,-274,-32
-19,-8,-8,3,-228,-27,-274,-31
-19,-8,-9,2,-228,-27,-274,-32
-17,-9,-9,1,-228,-28,-274,-31
-17,-9,-9,2,-227,-27,-273,-31
-17,-9,-9,2,-227,-27,-273,-31
-16,-11,-10,1,-227,-28,-274,-31
-16,-10,-9,2,-226,-27,-273,-31
-17,-10,-9,2,-227,-27,-273,-31
-18,-9,-9,1,-227,-28,-273,-32
-18,-9,-9,1,-227,-27,-273,-32
-19,-8,-8,2,-227,-27,-272,-32
-18,-9,-9,2,-227,-27,-272,-32
-17,-9,-9,2,-226,-27,-272,-31
-17,-9,-8,2,-225,-26,-271,-30
-17,-9,-9,2,-225,-27,-271,-31
-16,-11,-10,1,-225,-28,-272,-31
-17,-10,-9,1,-225,-27,-271,-30
-17,-9,-9,1,-225,-27,-271,-31
-17,-9,-9,1,-226,-27,-271,-31
-17,-9,-9,1,-225,-27,-272,-31
-18,-8,-8,2,-226,-27,-271,-31
-18,-8,-8,2,-226,-27,-271,-31
-17,-9,-9,2,-225,-27,-270,-31
-17,-9,-9,2,-224,-27,-270,-31
-17,-9,-9,2,-225,-27,-270,-30
-16,-10,-10,1,-224,-27,-270,-31
-16,-10,-9,2,-223,-27,-269,-30
-17,-9,-9,2,-223,-27,-269,-31
-17,-9,-9,1,-224,-27,-270,-31
-18,-9,-9,1,-224,-27,-270,-31
-19,-8,-8,2,-224,-26,-269,-31
-18,-8,-9,2,-224,-27,-269,-31
-17,-9,-9,2,-224,-27,-269,-31
-17,-9,-8,2,-223,-26,-268,-30
-17,-9,-9,2,-223,-27,-268,-30
-16,-10,-10,1,-223,-28,-269,-31
-16,-10,-9,1,-222,-27,-268,-30
-17,-9,-9,2,-222,-27,-268,-30
-17,-9,-9,2,-223,-27,-268,-31
-17,-9,-9,1,-222,-27,-268,-31
-18,-8,-8,2,-223,-26,-267,-31
-18,-8,-8,2,-223,-26,-267,-31
-17,-9,-9,2,-222,-27,-267,-31
-17,-9,-8,2,-221,-26,-266,-30
-17,-9,-9,2,-222,-26,-267,-30
-18,-8,-8,2,-221,-26,-265,-30
-18,-8,-8,2,-221,-26,-266,-31
-17,-9,-9,1,-221,-27,-266,-31
-17,-9,-9,2,-220,-26,-264,-30
-17,-9,-9,2,-220,-26,-264,-30
-16,-10,-10,1,-220,-27,-265,-30
-16,-10,-9,2,-219,-26,-264,-29
-17,-9,-9,2,-220,-26,-265,-30
-17,-9,-9,1,-220,-26,-265,-31
-17,-9,-9,2,-220,-27,-264,-30
-18,-8,-8,2,-220,-26,-264,-31
-18,-8,-8,2,-221,-26,-264,-31
-17,-9,-9,1,-219,-26,-264,-30
-17,-9,-8,2,-218,-26,-262,-29
-17,-9,-9,2,-219,-26,-262,-30
-15,-10,-10,1,-219,-27,-263,-30
-15,-10,-9,2,-218,-26,-263,-30
-16,-9,-9,2,-218,-27,-263,-30
-17,-9,-9,1,-219,-27,-263,-30
-17,-9,-9,1,-219,-27,-263,-31
-18,-8,-8,2,-219,-26,-262,-30
-18,-8,-8,2,-219,-26,-262,-30
-17,-9,-9,1,-218,-26,-262,-31
-17,-9,-8,2,-217,-26,-261,-30
-17,-9,-9,2,-217,-26,-261,-30
-15,-10,-10,1,-217,-26,-262,-30
-15,-10,-9,2,-215,-26,-261,-29
-17,-9,-9,1,-216,-26,-261,-29
-17,-9,-9,1,-217,-26,-262,-30
-17,-9,-9,1,-217,-26,-261,-30
-18,-8,-8,2,-217,-26,-260,-30
-18,-7,-8,2,-217,-26,-261,-30
-17,-9,-9,1,-217,-26,-261,-30
-17,-9,-8,2,-216,-26,-260,-29
-17,-9,-9,2,-216,-25,-260,-29
-16,-10,-9,1,-216,-26,-260,-30
-16,-10,-9,1,-215,-26,-260,-29
-16,-9,-9,2,-215,-26,-259,-30
-17,-9,-9,1,-215,-26,-260,-30
-17,-9,-9,1,-215,-26,-260,-30
-18,-8,-7,2,-215,-26,-259,-30
-18,-7,-8,2,-216,-26,-259,-30
-17,-9,-8,2,-215,-26,-258,-30
-17,-9,-8,2,-215,-25,-258,-29
-15,-8,-6,2,-214,-23,-256,-27
-11,-7,-3,2,-211,-20,-253,-25
-10,-6,-1,3,-209,-17,-250,-23
-9,-5,2,4,-208,-14,-248,-21
-6,-5,5,5,-206,-12,-246,-19
-2,-7,9,5,-203,-8,-242,-16
-1,-6,13,6,-201,-4,-239,-14
0,-5,15,7,-200,-2,-237,-12
3,-7,17,6,-198,0,-234,-10
4,-7,18,7,-197,1,-232,-9
5,-4,20,8,-196,3,-231,-8
6,-4,20,7,-196,3,-231,-7
8,-6,21,8,-194,4,-230,-6
8,-6,22,8,-194,5,-229,-6
7,-6,22,8,-194,5,-229,-6
7,-6,22,8,-194,4,-229,-7
6,-5,23,8,-194,5,-228,-6
6,-5,23,8,-195,4,-229,-7
7,-9,20,7,-194,3,-230,-7
8,-11,20,7,-193,3,-229,-7
7,-11,19,7,-193,3,-229,-7
8,-11,18,6,-194,1,-231,-8
7,-10,18,7,-194,1,-231,-8
5,-8,18,7,-194,0,-231,-9
4,-8,18,6,-195,0,-231,-10
4,-8,16,6,-196,0,-232,-10
1,-8,15,6,-197,-2,-233,-11
0,-8,14,6,-198,-3,-234,-12
1,-10,12,5,-198,-4,-235,-13
0,-11,10,5,-198,-6,-237,-14
0,-10,8,5,-199,-7,-238,-15
-1,-10,6,4,-200,-9,-239,-16
-2,-11,4,4,-200,-11,-240,-17
-5,-11,3,4,-202,-13,-242,-19
-7,-9,1,3,-203,-15,-243,-21
-8,-8,0,3,-204,-16,-244,-22
-11,-7,0,3,-205,-17,-245,-23
-14,-7,-2,3,-207,-20,-248,-25
-14,-7,-5,2,-209,-22,-249,-27
-15,-7,-6,2,-208,-23,-250,-27
-16,-9,-8,2,-210,-25,-252,-29
-15,-10,-10,1,-210,-26,-252,-29
-15,-10,-10,1,-209,-26,-252,-29
-16,-9,-9,1,-209,-25,-252,-29
-16,-8,-9,1,-209,-26,-252,-30
-16,-9,-9,1,-209,-26,-252,-30
-17,-8,-8,2,-209,-25,-251,-29
-18,-7,-8,2,-210,-25,-251,-29
-17,-8,-9,1,-209,-26,-252,-30
-16,-9,-8,2,-209,-25,-251,-29
-16,-8,-9,2,-209,-26,-251,-29
-15,-9,-10,1,-209,-26,-251,-29
-15,-10,-9,1,-207,-25,-250,-28
-16,-8,-9,1,-207,-26,-250,-29
-17,-8,-9,1,-208,-26,-251,-29
-17,-8,-9,1,-208,-26,-250,-29
-17,-8,-8,2,-208,-25,-250,-29
-18,-7,-7,2,-208,-25,-249,-29
-17,-8,-9,1,-208,-26,-250,-29
-16,-8,-9,1,-207,-25,-249,-29
-16,-8,-9,2,-207,-25,-249,-28
-15,-9,-10,1,-207,-26,-249,-29
-15,-10,-9,1,-206,-25,-249,-28
-16,-9,-9,1,-207,-25,-249,-29
-16,-8,-9,1,-208,-26,-249,-29
-17,-8,-9,1,-207,-26,-249,-29
-17,-8,-8,2,-206,-25,-248,-29
-18,-7,-8,2,-207,-25,-248,-29
-17,-8,-9,1,-207,-25,-248,-29
-16,-8,-9,2,-206,-24,-247,-28
-16,-8,-8,2,-205,-25,-247,-28
-15,-9,-9,1,-206,-26,-248,-29
-15,-9,-9,1,-205,-25,-247,-28
-16,-9,-9,1,-205,-25,-247,-28
-16,-8,-9,1,-206,-25,-247,-29
-17,-8,-9,1,-206,-25,-248,-29
-20,-8,-5,3,-208,-29,-250,-31
-26,-10,3,5,-212,-36,-257,-37
-29,-14,9,6,-216,-44,-263,-42
-35,-16,17,8,-218,-51,-268,-46
-38,-14,20,8,-220,-54,-271,-48
-35,-7,12,5,-219,-48,-266,-45
-27,0,0,2,-212,-35,-255,-37
-16,16,-22,-3,-202,-12,-236,-23
1,42,-58,-14,-187,24,-207,-1
25,66,-99,-25,-167,64,-173,24
50,89,-141,-36,-147,106,-138,52
75,111,-183,-47,-127,147,-103,80
102,132,-226,-58,-107,188,-69,107
128,153,-268,-69,-86,231,-34,136
153,173,-309,-79,-66,271,0,162
180,185,-348,-89,-46,307,30,188
206,187,-380,-95,-27,338,57,211
225,187,-403,-99,-12,363,78,229
239,190,-422,-104,-2,381,94,242
249,193,-435,-107,4,394,105,250
253,186,-437,-106,8,397,108,254
254,176,-432,-103,8,392,106,253
251,166,-423,-101,4,382,97,246
242,157,-406,-96,-2,367,85,237
230,146,-387,-91,-11,347,69,224
217,131,-363,-85,-23,322,48,208
199,110,-330,-76,-36,289,22,187
175,91,-291,-66,-54,252,-7,163
149,69,-249,-55,-75,210,-42,135
123,43,-204,-43,-96,166,-78,107
97,16,-158,-30,-116,122,-114,79
70,-3,-115,-18,-136,81,-148,51
45,-22,-76,-9,-156,41,-182,23
20,-41,-35,0,-176,0,-216,-2
-7,-58,-9,2,-198,-40,-251,-31
-35,-82,-5,1,-220,-87,-289,-62
-60,-93,-5,1,-238,-122,-319,-85
-75,-78,-4,2,-248,-131,-327,-95
-76,-62,-4,2,-248,-124,-323,-93
-65,-51,-3,2,-238,-105,-307,-81
-51,-37,-3,3,-227,-80,-287,-65
-38,-26,-3,3,-217,-58,-269,-51
-26,-18,-4,2,-208,-41,-254,-39
-19,-11,-4,3,-202,-30,-244,-31
-18,-10,-4,3,-201,-28,-243,-29
-18,-10,-5,2,-201,-29,-243,-30
-17,-11,-5,2,-200,-29,-243,-30
-18,-10,-4,3,-201,-28,-242,-30
-18,-10,-4,3,-201,-28,-242,-30
-18,-10,-4,2,-201,-28,-243,-30
-19,-9,-4,3,-201,-28,-242,-30
-20,-8,-3,3,-201,-28,-242,-30
-19,-9,-4,2,-201,-28,-242,-31
-18,-10,-4,2,-200,-28,-242,-30
-18,-10,-4,3,-200,-28,-241,-30
-18,-10,-4,2,-200,-28,-241,-30
-17,-11,-5,2,-199,-28,-241,-30
-17,-10,-4,2,-199,-28,-241,-30
-18,-10,-4,2,-200,-28,-241,-31
-19,-10,-4,2,-200,-29,-241,-31
-19,-9,-4,3,-200,-28,-241,-30
-20,-8,-3,3,-200,-27,-240,-30
-19,-9,-4,2,-200,-28,-241,-30
-18,-10,-4,3,-199,-28,-240,-29
-18,-10,-4,3,-198,-27,-240,-29
-17,-10,-4,2,-199,-28,-240,-29
-16,-11,-5,2,-198,-28,-240,-30
-17,-10,-4,2,-198,-28,-239,-30
-18,-10,-4,2,-198,-28,-239,-30
-18,-10,-4,2,-198,-28,-240,-31
-19,-9,-3,2,-198,-28,-239,-30
-20,-9,-3,3,-198,-27,-239,-30
-18,-9,-4,2,-199,-28,-239,-30
-18,-10,-4,3,-198,-28,-239,-30
-18,-9,-4,3,-198,-28,-238,-29
-17,-10,-4,2,-198,-28,-239,-29
-16,-11,-5,2,-197,-28,-238,-29
-17,-10,-4,2,-197,-28,-238,-29
-18,-10,-4,2,-197,-28,-239,-30
-18,-10,-4,2,-197,-28,-239,-30
-18,-9,-4,3,-197,-28,-238,-30
-19,-8,-3,3,-197,-27,-237,-30
-18,-9,-4,2,-197,-28,-238,-30
-17,-9,-2,3,-196,-26,-236,-29
-16,-8,0,4,-194,-24,-233,-26
-14,-8,0,3,-194,-24,-233,-27
-12,-9,0,3,-192,-22,-232,-25
-12,-7,3,4,-191,-19,-229,-23
-12,-7,4,4,-191,-18,-229,-23
-10,-9,5,4,-190,-18,-228,-23
-10,-8,6,4,-189,-17,-227,-22
-11,-7,7,5,-190,-16,-226,-22
-9,-7,7,5,-189,-16,-226,-21
-7,-7,10,5,-187,-13,-223,-19
-6,-7,10,6,-186,-12,-222,-18
-6,-8,9,5,-187,-13,-223,-19
-3,-10,10,5,-185,-12,-222,-18
-3,-10,12,6,-183,-11,-220,-17
-4,-7,13,6,-184,-10,-220,-16
-4,-5,14,6,-184,-9,-219,-16
-3,-6,16,7,-183,-7,-217,-15
-3,-6,18,8,-182,-6,-216,-14
-1,-7,17,7,-182,-7,-216,-14
0,-6,19,8,-180,-4,-214,-12
2,-4,24,8,-177,0,-209,-8
6,-3,27,9,-175,4,-206,-5
9,-2,31,10,-172,8,-203,-3
10,-1,33,11,-171,10,-201,-2
12,0,37,12,-171,13,-199,0
14,2,41,13,-169,17,-195,1
16,4,46,14,-166,22,-191,5
18,7,51,15,-164,26,-187,8
22,8,54,16,-163,29,-184,10
25,6,57,17,-159,33,-181,13
28,7,61,17,-157,37,-177,16
32,8,65,18,-155,41,-174,18
36,9,69,19,-152,45,-170,21
37,12,74,21,-149,50,-165,25
39,14,78,22,-148,54,-163,27
42,13,81,22,-145,56,-160,29
44,14,85,24,-144,60,-157,31
44,15,87,24,-143,62,-156,32
47,16,88,24,-142,64,-154,34
49,14,89,24,-141,65,-152,36
50,13,91,24,-139,66,-151,37
51,12,90,24,-139,66,-151,37
53,11,91,24,-137,67,-149,38
54,13,94,25,-136,70,-147,40
53,14,95,25,-137,70,-147,39
53,14,95,25,-136,70,-147,39
52,14,94,25,-137,69,-148,39
49,14,92,25,-138,67,-149,37
49,12,90,23,-139,65,-151,36
49,9,88,23,-139,63,-152,35
48,9,86,23,-140,61,-153,34
47,7,83,22,-141,59,-156,32
47,6,80,21,-142,56,-157,31
44,5,78,21,-143,54,-159,30
42,4,76,20,-144,52,-161,27
40,2,73,18,-146,48,-164,25
37,2,70,18,-148,45,-167,23
34,3,67,18,-150,43,-169,20
33,0,63,17,-152,38,-172,18
32,-3,59,16,-152,35,-174,16
30,-5,54,15,-153,31,-177,14
29,-9,51,13,-155,27,-180,12
28,-13,46,11,-156,23,-183,10
24,-14,43,11,-158,19,-186,7
21,-12,40,10,-160,17,-189,4
17,-10,38,10,-162,14,-192,2
15,-10,35,10,-165,11,-194,0
12,-9,34,10,-165,10,-195,0
11,-11,31,9,-167,7,-197,-2
11,-12,29,8,-167,5,-198,-3
9,-11,27,8,-168,4,-199,-4
7,-11,23,8,-170,1,-202,-6
6,-13,21,7,-169,0,-203,-8
4,-11,20,7,-171,-1,-204,-9
2,-11,18,6,-173,-4,-207,-11
0,-11,16,5,-174,-6,-208,-13
0,-10,16,6,-175,-6,-209,-13
-3,-8,15,6,-176,-7,-210,-15
-3,-11,11,5,-178,-10,-212,-16
-4,-10,10,5,-178,-11,-213,-17
-5,-11,9,5,-178,-12,-213,-17
-5,-13,7,4,-178,-14,-215,-18
-6,-13,4,3,-179,-17,-217,-20
-7,-12,5,4,-179,-17,-216,-20
-10,-10,3,3,-181,-19,-218,-22
-13,-11,0,2,-183,-22,-221,-25
-14,-10,-1,3,-184,-23,-222,-26
-17,-7,0,3,-185,-23,-222,-27
-17,-7,-2,3,-186,-24,-223,-27
-16,-7,-2,2,-185,-24,-223,-27
-16,-8,-3,2,-185,-25,-223,-27
-18,-9,-6,1,-187,-28,-226,-29
-17,-11,-7,1,-186,-29,-226,-29
-18,-11,-6,2,-186,-28,-226,-29
-19,-10,-6,2,-187,-29,-226,-30
-18,-10,-6,1,-187,-29,-226,-30
-19,-10,-6,2,-186,-29,-226,-30
-20,-9,-5,2,-186,-28,-225,-29
-19,-9,-6,1,-187,-29,-226,-30
-18,-9,-6,2,-186,-28,-225,-29
-18,-10,-6,2,-185,-28,-225,-29
-18,-10,-6,1,-186,-28,-224,-29
-17,-11,-7,1,-185,-29,-225,-30
-18,-10,-7,2,-185,-29,-225,-29
-18,-9,-6,1,-185,-28,-224,-29
-18,-10,-6,1,-186,-29,-225,-30
-19,-9,-6,1,-185,-29,-224,-30
-20,-8,-5,2,-186,-28,-224,-29
-19,-9,-6,2,-186,-28,-224,-30
-18,-10,-6,2,-185,-28,-223,-29
-19,-9,-6,2,-184,-28,-223,-29
-18,-10,-6,1,-185,-28,-223,-29
-17,-10,-7,0,-184,-29,-223,-29
-18,-10,-6,1,-183,-28,-223,-29
-18,-9,-6,2,-184,-28,-223,-29
-19,-9,-7,1,-185,-28,-223,-30
-19,-9,-6,1,-184,-28,-223,-30
-20,-8,-5,3,-184,-27,-222,-29
-19,-9,-6,2,-185,-28,-222,-29
-18,-9,-6,2,-184,-28,-222,-29
-18,-9,-6,2,-183,-27,-221,-29
-18,-9,-6,2,-183,-28,-222,-29
-17,-10,-7,1,-182,-28,-222,-29
-17,-10,-6,2,-182,-28,-221,-28
-18,-9,-6,2,-183,-28,-221,-29
-18,-9,-6,1,-184,-28,-222,-30
-18,-9,-6,1,-183,-28,-222,-30
-20,-8,-5,2,-183,-27,-221,-29
-19,-8,-6,1,-184,-28,-222,-30
-19,-9,-6,1,-183,-28,-221,-29
-18,-9,-6,2,-182,-28,-221,-28
-18,-9,-6,2,-183,-28,-221,-29
-16,-11,-7,1,-182,-29,-221,-29
-17,-10,-7,1,-181,-28,-220,-28
-18,-9,-6,2,-182,-28,-220,-29
-18,-9,-6,1,-182,-28,-221,-30
-18,-9,-6,1,-182,-28,-220,-29
-20,-8,-5,2,-182,-27,-219,-29
-19,-8,-6,2,-183,-28,-220,-29
-18,-9,-6,2,-182,-28,-220,-29
-18,-9,-6,2,-181,-27,-219,-28
-17,-9,-6,2,-182,-28,-219,-29
-16,-10,-7,1,-181,-28,-219,-28
-17,-10,-7,2,-180,-28,-219,-28
-18,-10,-6,2,-181,-28,-219,-28
