Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8
-17,-8,-12,2,-16,-26,-34,-34
-17,-8,-11,2,19805,-247,22514,-1831
-16,-8,-12,2,-264,-25,-315,-32
-16,-9,-12,2,-262,-25,-314,-32
-15,-9,-13,1,-262,-25,-314,-32
-14,-10,-13,1,-261,-25,-314,-31
-15,-9,-12,2,-261,-25,-313,-31
-16,-8,-12,1,-262,-26,-314,-32
-16,-8,-12,2,-262,-25,-314,-32
-16,-7,-12,2,-262,-25,-313,-32
-14,-10,-13,1,-259,-25,-312,-31
-15,-9,-12,2,-260,-25,-312,-31
-16,-9,-12,1,-261,-25,-312,-32
-16,-9,-12,1,-260,-25,-312,-32
-20,-8,-7,3,-262,-29,-314,-35
-26,-10,0,5,-268,-37,-321,-40
-29,-15,6,6,-270,-44,-327,-45
-34,-16,14,8,-273,-51,-332,-50
-37,-14,16,8,-275,-53,-335,-52
-34,-7,9,5,-273,-47,-329,-48
-27,0,-3,2,-266,-34,-319,-40
-15,18,-26,-3,-255,-10,-299,-24
3,44,-64,-15,-240,26,-270,-3
27,68,-105,-26,-221,66,-236,23
51,90,-146,-36,-200,108,-200,51
77,112,-189,-47,-181,149,-165,78
104,133,-232,-59,-160,191,-131,106
130,154,-274,-69,-140,233,-96,134
156,173,-315,-80,-119,273,-62,161
182,185,-353,-89,-100,309,-31,186
208,187,-385,-96,-81,340,-5,208
227,187,-407,-100,-66,364,15,226
241,191,-427,-104,-55,383,31,239
250,193,-439,-107,-48,394,42,248
255,185,-440,-106,-45,396,45,251
255,175,-435,-103,-46,392,42,249
251,165,-425,-100,-50,381,34,243
242,156,-409,-96,-56,366,21,233
230,145,-389,-90,-65,346,5,221
216,130,-364,-84,-77,321,-15,204
198,109,-331,-76,-92,288,-42,183
174,89,-292,-65,-109,251,-72,159
149,68,-250,-54,-130,209,-107,131
123,41,-206,-42,-150,164,-143,102
96,14,-159,-29,-171,120,-179,73
70,-5,-117,-18,-191,79,-213,46
45,-24,-77,-8,-211,39,-247,19
19,-42,-37,0,-231,0,-280,-7
-7,-59,-11,3,-252,-42,-316,-35
-35,-84,-9,2,-275,-89,-355,-66
-59,-93,-9,2,-292,-122,-383,-90
-74,-77,-7,3,-301,-130,-390,-98
-75,-62,-7,2,-301,-123,-386,-96
-63,-51,-7,3,-291,-103,-369,-83
-49,-37,-7,3,-280,-78,-349,-67
-37,-26,-6,3,-270,-57,-331,-53
-25,-17,-7,3,-261,-40,-316,-42
-18,-11,-7,3,-255,-29,-307,-34
-17,-10,-7,3,-254,-27,-305,-33
-16,-11,-8,2,-254,-28,-306,-33
-16,-12,-9,2,-253,-28,-305,-33
-17,-10,-7,3,-253,-28,-305,-33
-18,-10,-8,2,-254,-28,-305,-33
-18,-10,-8,2,-254,-28,-305,-34
-18,-9,-7,3,-254,-28,-305,-33
-19,-9,-6,3,-255,-28,-304,-33
-18,-10,-7,3,-254,-28,-305,-33
-17,-10,-7,3,-253,-28,-304,-33
-17,-10,-7,3,-253,-28,-304,-33
-17,-10,-8,2,-253,-29,-304,-33
-16,-11,-9,2,-252,-28,-304,-33
-17,-10,-7,3,-251,-27,-303,-32
-18,-10,-7,2,-252,-28,-304,-33
-18,-10,-8,2,-252,-28,-304,-34
-18,-9,-7,3,-252,-28,-303,-33
-19,-8,-6,3,-252,-27,-302,-33
