Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8
-129,-129,-129,-129,-129,-129,-129,-129
109,174,227,11936,182,0,0,0
356,-26,193,-26,174,0,11981,182
354,-25,194,-25,175,0,11701,183
354,-24,194,-24,173,0,11331,183
355,-25,192,-25,172,0,11352,181
355,-26,192,-26,173,0,11276,181
354,-26,192,-26,173,0,11156,181
355,-26,191,-27,173,0,11091,180
355,-27,190,-28,173,0,11214,179
354,-26,191,-26,174,0,10920,181
354,-26,191,-26,173,0,10608,181
354,-26,192,-26,173,0,10427,181
353,-25,192,-25,174,0,10221,182
352,-24,193,-24,172,0,9843,182
352,-25,192,-25,171,0,9872,180
352,-25,191,-25,172,0,9807,180
352,-25,191,-26,172,0,9637,179
352,-26,190,-27,171,0,9608,179
353,-27,189,-28,172,0,9767,178
352,-26,191,-26,174,0,9497,180
352,-26,191,-26,173,0,9337,180
351,-26,191,-25,172,0,9329,180
351,-25,191,-25,172,0,9180,181
350,-24,192,-24,171,0,8848,181
350,-25,190,-25,170,0,8931,179
350,-25,190,-25,171,0,8923,179
350,-25,190,-26,170,0,8808,179
350,-26,189,-26,170,0,8746,178
351,-27,188,-27,171,0,8853,177
350,-26,189,-26,172,0,8541,179
350,-26,189,-25,171,0,8298,178
349,-26,189,-25,171,0,8213,179
348,-25,190,-24,172,0,7973,180
347,-24,191,-23,171,0,7540,180
348,-24,189,-25,169,0,7597,178
348,-25,189,-25,170,0,7599,177
348,-25,189,-25,170,0,7622,177
348,-26,188,-26,169,0,7665,177
349,-27,186,-28,169,0,7838,176
348,-26,188,-26,171,0,7665,178
348,-25,188,-25,170,0,7453,177
347,-25,188,-25,170,0,7369,178
347,-25,189,-24,170,0,7162,178
345,-23,190,-23,169,0,6806,178
345,-24,188,-24,168,0,6855,176
346,-25,188,-25,169,0,6874,176
346,-25,187,-25,169,0,6797,176
346,-25,187,-26,168,0,6776,176
347,-27,185,-27,169,0,6884,175
346,-26,187,-26,170,0,6707,177
345,-25,187,-25,169,0,6551,177
